instance;algorithm;cp_solver;cp_strategy;uf_conflict_strategy;uf_conflicts_combinator;fzn_optimisation_level;threads;cores;cp_timeout_sec;exhaustive;hypervolume;datetime;cp_solutions;cp_total_nodes;time_cp_sec;time_fzn_sec;cp_solutions_list;uf_time_sec;uf_calls;uf_solutions;uf_conflicts;uf_solutions_list;uf_conflicts_backtrack;hypervolume_before_uf
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_or;and;1;16;8;180;False;10790.0;2023-04-26 11:28:52.106084;15;2964;41.181799999999996;107.68457000000001;[9.95521, 20.1938, 30.13448, 40.03387, 50.01267, 60.19388000000001, 70.32866, 80.2801, 90.09969000000001, 99.81847, 109.59129, 119.47998000000001, 129.15871, 138.89461, 148.86637000000002];46.716626999999995;15;15;0;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_and;and;1;16;8;180;False;12245.0;2023-04-26 11:28:52.745434;15;3153;41.62238000000001;107.78292;[10.14568, 20.23366, 30.03738, 39.80024999999999, 49.883219999999994, 59.666199999999996, 69.50822, 79.33345, 89.31519, 99.67699999999999, 109.41135, 119.34605, 129.21866, 138.99854, 149.4053];46.58954099999999;15;12;3;[True, True, True, True, True, True, True, True, True, True, True, False, False, True, False];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_or;or;1;16;8;180;False;3890.0;2023-04-26 11:32:42.754795;15;2995;43.08857;108.49286000000001;[10.29863, 20.26577, 30.44072, 40.69301, 50.9267, 61.098839999999996, 71.66606999999999, 81.7359, 91.58485, 101.53076999999999, 111.33166, 121.32005000000001, 131.35545000000002, 141.73963, 151.58143];41.595226;15;7;8;[False, False, False, False, False, True, False, False, True, True, True, False, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_or;and;1;16;8;180;False;2810.0;2023-04-26 11:32:42.339326;15;3366;39.75653;107.79396999999999;[10.10116, 19.887819999999998, 29.70307, 39.63164, 49.62607, 59.45116, 69.25596999999999, 79.12916, 88.86435, 98.54630999999999, 108.22541999999999, 118.05163999999999, 127.87741999999999, 137.83341, 147.5505];42.198283;15;13;2;[True, True, True, True, True, True, False, True, True, True, True, False, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;not_assignment;and;1;16;8;180;False;3350.0;2023-04-26 11:32:42.721787;15;3211;40.41094999999999;109.23190000000002;[10.41768, 20.09031, 30.01792, 39.99747, 50.07942, 60.10678, 70.0418, 80.18535, 90.05261, 99.92518000000001, 109.90824, 119.75702000000001, 129.5965, 139.69967000000003, 149.64285];42.455926;15;12;3;[False, True, False, True, True, True, True, False, True, True, True, True, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;not_assignment;or;1;16;8;180;False;2705.0;2023-04-26 11:32:42.081200;15;3275;43.19105999999999;108.76809000000002;[10.22025, 20.308860000000003, 30.386400000000002, 40.39259, 50.281670000000005, 60.16019, 70.12331999999999, 80.19303, 90.26328999999998, 100.56335999999999, 111.14206999999999, 121.59197, 131.74908, 141.91403, 151.95915000000002];43.549850000000006;15;12;3;[True, True, True, True, True, False, True, True, True, False, True, False, True, True, True];;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;decrease_max_link_charge;or;1;16;8;180;False;3600.0;2023-04-26 11:32:42.207763;15;3507;40.428749999999994;108.38948000000002;[10.639700000000001, 20.45682, 30.45521, 40.51287000000001, 50.489900000000006, 60.45653000000001, 70.38128, 80.18181, 89.92922, 100.0704, 109.851, 119.63203, 129.29971, 139.07943, 148.81823000000003];43.53747899999999;15;13;2;[True, True, True, False, False, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;decrease_one_link_charge;or;1;16;8;180;False;3280.0;2023-04-26 11:32:42.363002;15;3180;39.582390000000004;109.337;[10.11379, 19.80491, 29.469389999999997, 39.35072, 49.12841, 58.89734, 68.70738, 78.68299, 88.61397, 98.61961, 108.98331999999999, 118.93851, 128.82581, 138.90722, 148.91939000000002];43.264417;15;10;5;[False, True, True, False, True, True, True, False, True, True, True, True, True, False, False];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;decrease_max_link_charge;and;1;16;8;180;False;3575.0;2023-04-26 11:32:42.210006;15;3016;41.85567;108.09315000000001;[10.3839, 20.176849999999998, 29.98819, 39.9327, 49.75405, 59.59579, 69.79776000000001, 79.79187, 89.60422, 99.77028000000001, 109.86313000000001, 119.92830000000001, 130.06409000000002, 140.08184, 149.94882];43.904287999999994;15;13;2;[True, True, True, True, True, True, False, True, True, True, True, True, False, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;forbid_target_alloc;and;1;16;8;180;False;5205.0;2023-04-26 11:32:42.384299;15;3301;44.20358999999999;108.55839;[10.45302, 20.66591, 30.77864, 40.88455, 51.00062, 61.24876, 71.55801, 81.65747999999999, 91.79310000000001, 102.01878, 112.31, 122.16809, 132.33112, 142.50767000000002, 152.76198];43.947650999999986;15;14;1;[True, True, False, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;forbid_target_alloc;or;1;16;8;180;False;3685.0;2023-04-26 11:32:42.609851;15;3071;41.86443999999999;108.21960000000003;[10.31953, 20.18282, 30.0165, 39.88949, 49.6916, 59.81617, 69.74295000000001, 79.80845, 89.96196, 99.73343, 109.96776000000001, 120.00890000000001, 130.09199, 140.05683000000002, 150.08404000000002];43.720316;15;13;2;[True, True, True, False, True, False, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_hop_and;or;1;16;8;180;False;10865.0;2023-04-26 11:32:42.712686;15;3050;41.83727000000001;107.25641999999999;[10.202069999999999, 20.47612, 30.53481, 40.65863, 50.542399999999994, 60.716049999999996, 70.75734999999999, 80.71870999999999, 90.76536999999999, 100.65977999999998, 110.42278999999999, 120.12978, 129.82727, 139.49689, 149.09369];43.505352;15;13;2;[True, True, False, True, True, True, True, True, True, True, True, True, False, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;forbid_source_alloc;or;1;16;8;180;False;5532.0;2023-04-26 11:32:42.389433;15;3261;43.20506899999999;108.45748;[10.38904, 20.39696, 30.660199999999996, 40.77592, 50.95564, 61.10024, 71.23008, 81.21447, 91.767929, 101.493199, 111.384789, 121.60069899999999, 131.699669, 141.758209, 151.66254899999998];44.368712;15;13;2;[True, True, True, False, True, True, True, True, False, True, True, True, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;forbid_source_alloc;and;1;16;8;180;False;2870.0;2023-04-26 11:32:42.755314;15;3226;40.6232;108.57906;[10.28474, 20.235770000000002, 30.31782, 40.50468, 50.50442, 60.453869999999995, 70.31035, 80.06674, 89.89337, 99.62563, 109.44654000000001, 119.31880000000001, 129.24755, 139.20649, 149.20226];44.686696000000005;15;12;3;[False, True, True, True, True, True, False, True, False, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_hop_or;and;1;16;8;180;False;12680.0;2023-04-26 11:32:42.705045;15;2959;41.113279999999996;106.98486000000001;[9.92062, 19.723480000000002, 29.37833, 39.27859, 48.96083, 58.79584, 68.56622, 78.42589000000001, 88.4338, 98.74057, 108.64823, 118.59007, 128.50355000000002, 138.29008, 148.09814];44.854502999999994;15;14;1;[False, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_hop_and;and;1;16;8;180;False;12335.0;2023-04-26 11:32:42.103194;15;3111;42.69906000000001;107.20387000000001;[9.85321, 19.635930000000002, 29.55723, 39.83561, 49.94739, 60.02329, 70.05364, 79.72467, 89.55971000000001, 99.32933, 109.24258, 119.07887000000001, 129.17759, 139.83485000000002, 149.90293000000003];45.62293700000001;15;14;1;[True, True, True, True, False, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;decrease_one_link_charge;and;1;16;8;180;False;4440.0;2023-04-26 11:32:42.743139;15;3413;41.31773;109.01783;[10.35564, 20.485390000000002, 30.4846, 40.3874, 50.3703, 60.549220000000005, 70.57104000000001, 80.53276, 90.34376, 100.86878, 110.88524999999998, 120.69264, 130.52365, 140.47460999999998, 150.33556];45.089986999999994;15;12;3;[True, True, False, True, True, False, True, True, True, True, True, True, True, True, False];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_hop_or;or;1;16;8;180;False;13318.0;2023-04-26 11:32:42.652030;15;3484;40.67029;108.45111;[9.9941, 19.67259, 29.726930000000003, 39.58856, 49.63046, 59.472300000000004, 69.49727, 79.38214, 89.12675, 98.91079, 108.74619000000001, 119.36114, 129.29858000000002, 139.2435, 149.1214];45.32007599999999;15;15;0;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;decrease_hop_and;or;1;16;8;180;False;5175.0;2023-04-26 11:36:30.580944;15;3611;41.56575;108.30496000000001;[9.94927, 19.84583, 29.939590000000003, 40.94876, 50.85738, 60.712399999999995, 70.57548, 80.45057, 90.25152, 100.15526999999999, 110.10417999999999, 120.10661999999999, 129.99616, 139.8056, 149.87071];43.078959;15;13;2;[True, True, False, True, True, True, False, True, True, True, True, True, True, True, True];0;
topology100-14_005_u80;cusolve-mo;gecode;firstfail-random;forbid_source_alloc;or;1;16;8;180;False;1677.0;2023-04-26 11:36:31.355872;14;3034;43.27849;108.42864;[10.78768, 21.01973, 31.26896, 41.50908, 51.91993, 62.13067000000001, 72.00545, 82.36546, 92.38123999999999, 102.77896, 112.97368, 123.89358, 134.12569000000002, 144.49345];41.118460999999996;14;13;1;[True, True, True, False, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u80;cusolve-mo;gecode;firstfail-random;decrease_max_link_charge;or;1;16;8;180;False;1435.0;2023-04-26 11:36:31.462880;14;3120;44.74723900000001;109.30372000000001;[10.717379999999999, 21.15244, 31.514809999999997, 41.998029, 52.200759, 62.526509, 73.08869899999999, 83.930319, 94.208789, 105.14831900000001, 115.35308900000001, 125.728119, 136.351369, 146.79314900000003];41.104791;14;9;5;[True, False, True, True, False, True, False, True, False, True, True, False, True, True];0;
topology100-14_005_u60;cusolve-mo;gecode;firstfail-random;decrease_hop_or;and;1;16;8;180;False;2835.0;2023-04-26 11:36:31.438190;15;3237;43.950289999999995;108.16341000000001;[10.27698, 20.41507, 30.45312, 41.44803, 51.73276, 62.14657, 72.49631, 82.58664, 92.48261000000001, 102.32751, 112.50009, 122.47962000000001, 132.47779, 142.36156, 152.1137];42.989309;15;14;1;[True, True, True, True, False, True, True, True, True, True, True, True, True, True, True];0;
